tissue,n_nr1i2,n_CYP2C8,n_CYP2C9,n_SLCO1B1,n_ABCC2,n_CYP3A5,n_ALB,n_HNF4A,n_GAPDH
Adipose_Subcutaneous,663,663,663,663,663,663,663,663,663
Adipose_Visceral_Omentum,541,541,541,541,541,541,541,541,541
Adrenal_Gland,258,258,258,258,258,258,258,258,258
Artery_Aorta,432,432,432,432,432,432,432,432,432
Artery_Coronary,240,240,240,240,240,240,240,240,240
Artery_Tibial,663,663,663,663,663,663,663,663,663
Bladder,21,21,21,21,21,21,21,21,21
Brain_Amygdala,152,152,152,152,152,152,152,152,152
Brain_Anterior_cingulate_cortex_BA24,176,176,176,176,176,176,176,176,176
Brain_Caudate_basal_ganglia,246,246,246,246,246,246,246,246,246
Brain_Cerebellar_Hemisphere,215,215,215,215,215,215,215,215,215
Brain_Cerebellum,241,241,241,241,241,241,241,241,241
Brain_Cortex,255,255,255,255,255,255,255,255,255
Brain_Frontal_Cortex_BA9,209,209,209,209,209,209,209,209,209
Brain_Hippocampus,197,197,197,197,197,197,197,197,197
Brain_Hypothalamus,202,202,202,202,202,202,202,202,202
Brain_Nucleus_accumbens_basal_ganglia,246,246,246,246,246,246,246,246,246
Brain_Putamen_basal_ganglia,205,205,205,205,205,205,205,205,205
Brain_Spinal_cord_cervical_c-1,159,159,159,159,159,159,159,159,159
Brain_Substantia_nigra,139,139,139,139,139,139,139,139,139
Breast_Mammary_Tissue,459,459,459,459,459,459,459,459,459
Cells_Cultured_fibroblasts,504,504,504,504,504,504,504,504,504
Cells_EBV-transformed_lymphocytes,174,174,174,174,174,174,174,174,174
Cervix_Ectocervix,9,9,9,9,9,9,9,9,9
Cervix_Endocervix,10,10,10,10,10,10,10,10,10
Colon_Sigmoid,373,373,373,373,373,373,373,373,373
Colon_Transverse,406,406,406,406,406,406,406,406,406
Esophagus_Gastroesophageal_Junction,375,375,375,375,375,375,375,375,375
Esophagus_Mucosa,555,555,555,555,555,555,555,555,555
Esophagus_Muscularis,515,515,515,515,515,515,515,515,515
Fallopian_Tube,9,9,9,9,9,9,9,9,9
Heart_Atrial_Appendage,429,429,429,429,429,429,429,429,429
Heart_Left_Ventricle,432,432,432,432,432,432,432,432,432
Kidney_Cortex,85,85,85,85,85,85,85,85,85
Kidney_Medulla,4,4,4,4,4,4,4,4,4
Liver,226,226,226,226,226,226,226,226,226
Lung,578,578,578,578,578,578,578,578,578
Minor_Salivary_Gland,162,162,162,162,162,162,162,162,162
Muscle_Skeletal,803,803,803,803,803,803,803,803,803
Nerve_Tibial,619,619,619,619,619,619,619,619,619
Ovary,180,180,180,180,180,180,180,180,180
Pancreas,328,328,328,328,328,328,328,328,328
Pituitary,283,283,283,283,283,283,283,283,283
Prostate,245,245,245,245,245,245,245,245,245
Skin_Not_Sun_Exposed_Suprapubic,604,604,604,604,604,604,604,604,604
Skin_Sun_Exposed_Lower_leg,701,701,701,701,701,701,701,701,701
Small_Intestine_Terminal_Ileum,187,187,187,187,187,187,187,187,187
Spleen,241,241,241,241,241,241,241,241,241
Stomach,359,359,359,359,359,359,359,359,359
Testis,361,361,361,361,361,361,361,361,361
Thyroid,653,653,653,653,653,653,653,653,653
Uterus,142,142,142,142,142,142,142,142,142
Vagina,156,156,156,156,156,156,156,156,156
Whole_Blood,755,755,755,755,755,755,755,755,755
